Source,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,Material of playground floor,Water play,Age range of playground,Picnic,BBQ,Images
,Quarry Hill Botanical Garden,12841 Hwy 12,Glen Ellen,CA,95442,(707) 996-3166,http://www.quarryhillbg.org,"Quarryhill is a 25-acre botanical garden of mature, flowering Asian trees & shrubs. Magnolias, dogwoods, maples, birches, roses, lilies, rhododendrons, and many others are laced with paths and hidden places to sit and relax, while surrounded by ponds, waterfalls, and vistas of the Sonoma Valley.
Quarryhill welcomes visitors year round to enjoy our Asian woodland garden, containing a rich diversity of Asian flora. All seasons in the garden have their own beauty.
Self-guided tours are available during our open hours without reservation. Docent-led tours are available by reservation. Group tours for garden clubs and other groups or organizations are also available with advanced reservation.",Y,,,,,,,,,,,,,9,16,9,16,9,16,9,16,9,16,9,16,9,16,Y,,,,,,,,,,,
,The Ruth Bancroft Garden,1552 Bancroft Rd,Walnut Creek,CA,94598,,http://www.ruthbancroftgarden.org, The Ruth Bancroft Garden is a nonprofit public dry garden that was planted by Mrs. Ruth Bancroft in 1972. The Garden was opened to the public in the early '90s.,Y,,,,,,,,Tours,,,,,,,10,16,10,16,10,16,10,16,10,16,10,16,Y,,,,,,,,,,,
,Sunset Magazines Demonstrations Gardens,80 Willow Road,Menlo Park,CA,94025,,http://www.sunset.com/garden/flowers-plants/sunset-garden-tour,"Welcome to Sunset's gardens in Menlo Park, CA. The grounds here are part of our lab for Western living, where editors and staff test their ideas.
The garden was originally designed by Thomas Church, the dean of Western landscape architects. A 2000 renovation by Chris Jacobson and Beverly Sarjeant added a fresh new look but kept much of the original border, with distinct areas representing the major climate zones of the West.",N,,,,,,,,Tours,,,,,9,16,9,16,9,16,9,16,9,16,9,16,9,16,,,,Y,,,,,,,,
,UC Botanic Garden at Berkeley,200 Centennial Dr,Berkeley,CA,94720,(510) 643-2755,http://botanicalgarden.berkeley.edu,"""To develop and maintain a diverse living collection of plants to support teaching and worldwide research in plant biology, further the conservation of plant diversity, and promote public understanding and appreciation of plants and the natural environment.""
The UC Botanical Garden is a non-profit research garden and museum for the University of California at Berkeley, having a notably diverse plant collection including many rare and endangered plants. Established in 1890, the Garden, which is open to the public year round, has over 13,000 different kinds of plants from around the world, cultivated by region in naturalistic landscapes over its 34 acres.
Closed on the first Tuesday of every month.",Y,,,,,,,,,,,,,9,17,9,17,9,17,9,17,9,17,9,17,9,17,Y,,,,,,,,,,,
,Lake Almaden,15652 Almaden Expy,San Jose,CA,95120,(408) 277-5130,http://www.sanjoseca.gov/facilities/Facility/Details/2,"Welcome to Almaden Lake Park, where many visitors come to relax and enjoy the recreational opportunities, fish along the shores of the 32 acres of lake and hike and bike in our beautiful 65 acre facility.
Others enjoy a nice family or company picnic and play volleyball, toss horseshoes. Bocce ball courts are also available on a first come first serve basis, you will need to provide your own equipment.  Court etiquette is expected.
Almaden Lake Park is divided into two sides referred to as the Eastside, which runs parallel to Winfield Boulevard and the Westside of the park along Almaden Expressway.  Dogs are not allowed on the Westside of the park as it is considered a wildlife sanctuary and the beach area must remain clean.
The park closes one half hour after sunset.",N,,,,,,,,Bocce Ball,Picnic,Boat Rentals,Trails,,8,,8,,8,,8,,8,,8,,8,,Y,Y,,Y,,,,,,,,
,Lake Chabot,17600 Lake Chabot Road,Castro Valley,CA,94546,,http://www.ebparks.org/parks/lake_chabot,"Lake Chabot Reservoir was built in 1874-75 as a primary source of water for the East Bay. The 315-acre lake was closed to recreation for 91 years. Legislation passed in the 1960s opened the lake for controlled recreational uses. Currently, the lake serves as a standby emergency water supply. For this reason, visitors are asked to observe certain necessary regulations to keep the waters pure. 
Hours vary based on the time of year, please check the website for the most accurate hours. ",N,,,,,,,,Fishing,Boating,Golf,Hking,Picnic,6,21,6,21,6,21,6,21,6,21,6,21,6,21,Y,Y,,Y,,,,,,,,
,Lake Cunningham Park,2305 S White Rd,San Jose,CA,95148,(408) 794-7275,http://www.sanjoseca.gov/facilities/facility/details/Alder-Leaf-Lake-Cunningham-242,"This 203-acre park has eight reservable and several first-come, first-served picnic areas. The park offers numerous water activities such as boating and fishing - NO SWIMMING! Lake Cunningham  Park is home to Raging Waters and Lake Cunningham Regional Skate Park. 
Alder Leaf is located near Parking Lot B. The site is semi-shaded and a short walk to the horseshoe pits and volleyball court.
The park closes one half hour after sunset.",N,,,,,,,,Playground,Horseshoe pit,Picnic,Reservable picnic,BBQ,8,,8,,8,,8,,8,,8,,8,,Y,Y,,Y,Y,,,,,,,
,Lake Del Valle,7000 Del Valle Road,Livermore,CA,94550,,http://www.ebparks.org/parks/del_valle,"Deep in a valley framed by oak-covered hills, with sailboats and sailboards skimming over its waters, Del Valle is like a lakeside resort only 10 miles south of Livermore.
Hours vary based on the time of year, please check the website for the most accurate hours. ",N,,,,,,,,Picnic,swimming,camping,boating,fishing,6,21,6,21,6,21,6,21,6,21,6,21,6,21,Y,Y,,Y,,,,,,,,
,Lake El Estero,,Monterey,CA,93940,,,"Monterey's El Estero Park is centered around Lake El Estero, and is a popular destination for both locals and visitors. El Estero Park is full of ways for small children to play and burn off excess energy. The El Estero Exercise Course, which wends around the lake, is a great way to get exercise while enjoying the area's natural beauty. Skaters love Monterey Skate Park, designed by local skateboarders. Anglers can fish off Lake El Estero's fishing piers, while birders can check a few more avian species off their lists.",N,,boat rentals,,,,,,Skate park,fishing,Dennis the Menace Playground,excercise course,birding,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,
,Lake Elizabeth in Central Park,40000 Paseo Padre Pkwy,Fremont,CA,94538,(510) 790-5541,https://www.fremont.gov/317/Central-Park,"Central Park and Lake Elizabeth began development in 1960. The Lake was dedicated to Fremont's Sister City, Elizabeth, Australia, on March 22, 1969. The Park is set on 450 acres with an 83-acre lake.
Central Park and Lake Elizabeth has been named the best park of the Tri-Cities area by the Argus newspaper multiple times. It has also been named the Winner of the Readers' Choice Award for BEST PARK in 2010.",N,,,,,,,,Picnic,Soccer,Tennis,Waterpark,Boat rental,9,19,9,19,9,19,9,19,9,19,10,19,10,19,Y,Y,,Y,Y,,,,,,,
,Lake Merritt Boating Center,568 Bellevue Ave,Oakland,CA,94610,(510) 238-2196,http://www2.oaklandnet.com/Government/o/opr/s/boating/OAK029815,"Lake Merritt is a unique saltwater tidal lake conveniently located in the center of downtown Oakland, adjacent to Lakeside Park. Boating programs are offered at Lake Merritt and the Oakland Estuary. Youth and Community Programs provide an entry point to gain skills to explore the wonders of Bay Area boating. Join the Green revolution—learn sailing and muscle-powered boating!
Hours vary based on the time of year, please check the website for the most accurate hours. ",N,,boat rentals,,,,,,,,,,,10,18,10,18,10,18,10,18,10,18,10:30,18,10:30,18,Y,,,,,,,,,,,
,San Pablo Reservoir,7301 San Pablo Dam Road,El Sobrante,CA,94803,,https://www.ebmud.com/recreation/san-pablo-reservoir,"San Pablo Reservoir Recreation Area is located between the towns of Orinda and El Sobrante on San Pablo Dam Road. The reservoir and park are accessible from State Highway 24 and 80. San Pablo is a no body contact reservoir, no swimming is allowed.
Hours vary based on the time of year, please check the website for the most accurate hours. ",Y,,boat rentals,,,,,,Picnic,hiking,fishing,,,6,20,6,20,6,20,6,20,6,20,6,20,6,20,Y,Y,,Y,,,,,,,,
,Shoreline Lake: Aquatic Center and Café,3160 N Shoreline Blvd,Mountain View,CA,94043,(650) 965-7474,http://www.shorelinelake.com/,"Many people are surprised to discover beautiful Shoreline Lake on the doorstep of sunny Mountain View. Not only is Shoreline a safe and expansive waterway for many water sports, including sailing, windsurfing, kayaking and canoeing, it is also a wildlife sanctuary and home to many rare, migratory birds, such as the burrowing owl. As you cruise the lake (no motorized craft are allowed, due to the fragile ecosystem which supports a host of native wildlife) you may come across migratory birds nesting on the island in the middle of the lake, but please don’t disembark or disturb the wildlife.
Hours vary based on the time of year, please check the website for the most accurate hours. ",N,,boat rentals,,,,,,Shoreline Aquatic Center,Pedalboats,Kayaks,rowboats,Picnic,10,18:30,10,18:30,10,18:30,10,18:30,10,18:30,10,19:30,10,19:30,Y,Y,,Y,,,,,,,,
,"Stowe Lake, Golden Gate Park",50 Stow Lake Dr E,San Francisco,CA,94122,(415) 386-2531,http://stowlakeboathouse.com/,"Our fleet of American-made boats includes rowboats, electric boats, and pedal boats that seat from one to four boaters. All motorboats, including the support boat, are electric powered and silently glide across the serene waters of Stow Lake.",N,Park,Stow Lake Boathouse - Boat Rental,,,,,0 and up,Conservatory of Flowers,de Young Museum,California Academy of Sciences,Picnic,Boating,10,16,10,16,10,16,10,16,10,16,10,17,10,17,,,,,,,,,,,,
,Vasona Lake County Park,333 Blossom Hill Rd,Los Gatos,CA,95032,(408) 356-2729,http://www.sccgov.org/sites/parks/parkfinder/Pages/Vasona.aspx,"Welcome to Vasona Lake County Park and the Los Gatos Creek Parkway. The 150 acre park and connecting parkway are the most popular of Santa Clara County's regional park and recreation areas.
For the 13th consecutive year, Santa Clara County Parks and South Bay Folks  team up to bring you free, outdoor concerts every Saturday in June and July. Located in a pleasant setting overlooking Vasona Lake and Los Gatos Creek, this nine-week series features local artists performing a wide variety of acoustic genres ranging from big band, to jazz, to traditional and contemporary folk. Pack a picnic dinner or enjoy concessions at the park, and join us this summer forVasona Vibrations.",,,,,,,,,Biking,Fishing,Trails,Picnic,Boating,8,,8,,8,,8,,8,,8,,8,,Y,Y,,Y,Y,,,,,,,
,Regional Parks Botanic Garden at Tilden,Wildcat Canyon Rd & Anza View Rd,Berkeley,CA,94701,888 327 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tilden Regional Park and Environmental Educatn Ctr,Central Park Dr,Berkeley,CA,94702,510 562 7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin Eastshore State Park,,Berkeley,CA,94720,(888) 327-2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tom Bates Regional Sports Complex,400-408 Gilman St,Berkeley,CA,94710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,CA,94708,510 843 2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baylands Nature Preserve,2500 Embarcadero Rd,Palo Alto,CA,94303,650 617 3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Palo Alto Park,117 Palo Alto Ave,Palo Alto,CA,94301,650 329 2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pearson Arastradero Preserve,1530 Arastradero Rd,Palo Alto,CA,94306,650 329 2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,San Jose Municipal Rose Garden,Naglee Ave & Dana Ave,San Jose,CA,95126,408 277 5422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penitencia Creek Park and Trail,3050 Berryessa Rd,San Jose,CA,95133,408 277 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Miner Park,Copco Ln & Lean Ave,San Jose,CA,95123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alum Rock Park,15350 Penitencia Creek Rd,San Jose,CA,95127,408 259 5477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holdener Park,Livermore,Livermore,CA,94550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,
,Max Baer Park,1310 Murdell Ln,Livermore,CA,94550,,http://www.larpd.org/parks/maps/27.html,"Contains tot lot, barbecue pits, picnic tables, a preschool, softball areas and a dog park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,
,Morgan Territory Regional Preserve,9401 Morgan Territory Rd,Livermore,CA,94550,925 757 2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Livermore Community Center,4444 East Ave,Livermore,CA,94550,925 373 5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sycamore Grove Park,1051 Wetmore Rd,Livermore,CA,94550,925 373 5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Japanese Gardens,E 6th Ave & Laurel Ave,San Mateo,CA,94402,650 522 7440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sawyer Camp Trail,Crystal Springs Rd & Skyline Blvd,San Mateo,CA,94401,650 589 4294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seal Point Park,1901 J Hart Clinton Dr,San Mateo,CA,94401,650 522 7485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laurelwood Park/Sugarloaf,3471 Glendora Dr,San Mateo,CA,94403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skyline Wilderness Park,2201 Imola Ave,Napa,CA,94559,707 252 481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trancas Crossing Park,640 Trancas St,Napa,CA,94558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veterans Memorial Park,Main Street and Third,Napa,CA,94559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westwood Hills Park,3107 Browns Valley Rd,Napa,CA,94581,707 257 9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annadel State Park,6201 Channel Dr,Santa Rosa,CA,95409,707 539 3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luther Burbank Home & Gardens,Santa Rosa & Sonoma Ave,Santa Rosa,CA,95402,707 524 5445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spring Lake Park,5690 Newanga Ave,Santa Rosa,CA,95405,707 539 8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taylor Mountain Regional Park,2080 Kawana Terrace,Santa Rosa,CA,95404,707 539 8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz Harbor Walton Lighthouse,Atlantic Ave & E Cliff Dr,Santa Cruz,CA,95062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pogonip,333 Golf Club Dr,Santa Cruz,CA,95060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Bridges State Beach,2531 W Cliff Dr,Santa Cruz,CA,95060,831 423 4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mitchell's Cove Beach,W Cliff Dr. & Sunset Ave.,Santa Cruz,CA,95060,831 420 5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lighthouse Field State Beach,701 W Cliff Dr,Santa Cruz,CA,95060,831 420 5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UC Santa Cruz Arboretum,1156 High St,Santa Cruz,CA,95064,831 427 2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wilder Ranch State Park,1401 Coast Rd,Santa Cruz,CA,95060,831 426 505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crown Memorial State Beach,Otis Dr & Westline Dr,Alameda,CA,94501,888 327 2757,http://www.ebparks.org/parks/crown_beach,"Showpiece of the park is its 2.5-mile beach, with sand dunes bordering a bicycle trail. The beach is a great achievement of landscaping and engineering. After wind and water action had eroded the beach dangerously, it was restored in early 1982 with sand from San Francisco Bay, pumped ashore by pipeline from a barge. More sand has been added since then, and groins have been constructed to keep it in place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fairmont Ridge,2635 Fairmont Dr,Castro Valley,CA,94546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lake Chabot Regional Park,17930 Lake Chabot Rd,Castro Valley,CA,94546,888 327 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don Castro Regional Recreation Area,22400 Woodroe Ave,Hayward,CA,94541,888 327 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Garin & Dry Creek Pioneer Regional Parks,1320 Garin Ave,Hayward,CA,94544,888 327 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hayward Regional Shoreline,3010 W Winton Ave,Hayward,CA,94543,510 783 1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oyster Bay Regional Shoreline,North end of Neptune Dr,San Leandro,CA,94577,888 327 2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Picchetti Ranch Open Space Preserve,13100 Montebello Rd,Cupertino,CA,95015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stevens Creek County Park,11401 Stevens Canyon Rd,Cupertino,CA,95014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Los Gatos Creek Trail,1250 Dell Ave,Campbell,CA,95008,408 793 5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rancho San Antonio Open Space Preserve,22500 Cristo Rey Dr,Los Altos,CA,94024,650 691 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midpeninsula Regional Open Space District,330 Distel Cir,Los Altos,CA,94022,650 691 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marymeade Park,1285 Fremont Ave,Los Altos,CA,94023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mora Trail,10600 Mora Dr,Los Altos,CA,94024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoreline Park & Lake,3160 N Shoreline Blvd,Mountain View,CA,94041,650 965 7474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golden Gate Park,Transverse Dr and John F Kennedy Dr,San Francisco,CA,94121,,http://www.sfparksalliance.org/our-parks/parks/golden-gate-park,"Golden Gate Park stretches 3.5 miles from Stanyan to Great Highway and half-a-mile wide. There are plenty of paths on which to run, bicycle, skateboard, etc. There are numerous fields for almost any activity. There are many attractions such as the McLaren Lodge where you can pick up maps of the park, the Bison Paddock where bison herds have been grazing for over a 100 years, the deYoung Fine Arts Museum, the tranquil Japanese Tea Garden and so much more! Bathrooms are located throughout the park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand View Park,14th Ave and Moraga Street,San Francisco,CA,94122,,http://www.sfparksalliance.org/our-parks/parks/grand-view-park-and-open-space,"The park facilities consist of only a set of two stairways, one with mosaic tiles, and a lone bench at the peak of the hill. However, the park is home to many rare, endangered dune plants and offers an incredible panoramic view extending (on a clear day) from the downtown skyline to the Farallones Islands over the Pacific. It's well worth the steep hike to the top!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ina Coolbrith Park,Taylor & Vallejo Streets,San Francisco,CA,94101,,http://www.sfparksalliance.org/our-parks/parks/ina-coolbrith-park,"Take a break from the big city and come to this hidden gem on Russian Hill. There are plenty of benches to relax and enjoy the beautiful greenery, or climb the steps that give you a great vantage point of the city at the top.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kite Hill Open Space,19th & Yukon St,San Francisco,CA,94101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Levi's Plaza Park,1270 Battery Street,San Francisco,CA,94103,,http://www.sfparksalliance.org/our-parks/parks/levis-plaza,"Situated between Telegraph Hill and the Embarcadero, Levi's Plaza Park features a grassy knoll and is surrounded by apartments and businesses, while at its center is a water fountain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marina Green Park,Marina Green Dr,San Francisco,CA,94123,415 831 2700,http://www.sfparksalliance.org/our-parks/parks/marina-green,"Marina Green is a perfect place for any activity that can be done on grass since there are acres of grass to enjoy. It's a great location for dog walkers, runners, parents with infants, sports players, cyclists, roller bladers etc! You can usually find a pick up game of some sort (such as soccer or frisbee) if you're into sports. Since San Francisco is a very windy city, Marina Green is prime location to fly a kite or have kite fights! (Google kite fights if you don't know what that is) Kite surfing is also a popular pastime here--but only for the fearless! Picnics are never a bad idea and Marina Green is a reputable spot for a picnic. Spread the blanket out and have fun with your family or special someone right on the water front! This location offers the views priceless views of the San Francisco Bay and the Marin headlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mount Davidson Park,Dalewood Way & Myra Way,San Francisco,CA,94127,415 831 2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muriel Leff Mini Park,450 7th Ave,San Francisco,CA,,415 831 2700,http://www.sfparksalliance.org/our-parks/parks/muriel-leff-mini-park,"Muriel Leff Mini Park is a small but beautiful green space, a great addition to any neighborhood. It's a great place to stop and rest under a tree in the shade, at one of its benches, or eat lunch at its picnic table. The park includes a small sandbox and a unique art sculpture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palace Of Fine Arts,3301 Lyon Street,San Francisco,CA,94123,415 563 6504,http://www.sfparksalliance.org/our-parks/parks/palace-fine-arts,"The Palace of Fine Arts is a beautiful historic landmark in San Francisco modeled after epic Greek and Roman architecture. In addition, the immaculate landscape is breathtaking with a variety of plant and animal life on the grounds; in particular, the gorgeous swans gracing us with their presence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rincon Park,Folsom St & The Embarcadero,San Francisco,CA,94199,,http://www.sfparksalliance.org/our-parks/parks/rincon-park,"If you're downtown, go down the Embarcadero to Rincon Park! This landmark has nice groomed patches of grass along its promenade and there is a large sculpture of a Bow and Arrow known as ""Cupid's Span""; in addition, the view of the Bay Bridge is unforgettable and worthy of a photo!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rose Garden,Fulton St & Park Presidio Dr,San Francisco,CA,94117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidney Walton Park,Front St and Jackson St,San Francisco,CA,94111,,http://www.sfparksalliance.org/our-parks/parks/sidney-walton-park,"This square-shaped, tree-lined park is located in one of the densest areas of the city: within the Financial District and just steps away from both North Beach and Chinatown. It consists of two large lawn area and several smaller grass areas. Near its center is the bronze sculpture-fountain, the ""Fountain of Four Seasons,"" by French sculptor Francois Stahly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutro Heights Park,48th Ave & Point Lobos Ave,San Francisco,CA,94121,415 561 4323,http://www.sfparksalliance.org/our-parks/parks/sutro-heights,"Located at the northwest edge of the city, near the Pacific Ocean and near the famous Cliff House, Sutro Heights Park offers great views of the water and the famous Cliff House. The park features walking trails, vista points, and open grassy areas. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tank Hill Park,2 Belgrave Ave,San Francisco,CA,94117,,http://www.sfparksalliance.org/our-parks/parks/tank-hill,"Tank Hill is a great place if you want some peace and quiet and a breathtaking view! However, this spot is too windy for a picnic and there isn't much space to run around; nonetheless, it's a must see!
The Friends of Tank Hill park group is working hard to bring back indigenous plant life and has posted signs along the pathways that describe some of the flora you'll see here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Panhandle,Masonic Ave and Oak St,San Francisco,CA,94117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twin Peaks,501 Twin Peaks Blvd,San Francisco,CA,94114,,http://www.sfparksalliance.org/our-parks/parks/twin-peaks-blvd-and-park,"Twin Peaks Park is a quaint little open space that has a nice view of the surrounding area. There are steps that lead up the small incline that is covered with grass.
This is a great secluded spot for a mini-adventure or a romantic sunset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Union Square Park,323 Geary St,San Francisco,CA,94101,415 781 7880,http://www.sfparksalliance.org/our-parks/parks/union-square,"Union Square is a park located on top of a parking lot in downtown SF. It's surrounded by some of the best shopping in the city! Bordered by Geary, Powell, Post, and Stockton Streets, it is 2.60 acres. This park has concessions, and performance spaces as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St Joseph's Hill Open Space Preserve,Manzanita Trail & Range Trail,Los Gatos,CA,95030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stafford Grove Park,1035 7th St,Novato,CA,94945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John D. Morgan Park,540 W Rincon Ave,Campbell,CA,95008,408 866 2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mount Sutro Open Space Reserve,Mt. Sutro West Face,San Francisco,CA,94132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bill Clark Park,Mollie Ct & Mollie Cir.,Livermore,CA,94551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sun Terrace Neighborhood Park,Vancouver Way & Montreal Cir.,Concord,CA,94520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mountain Lake Park,Lake St. and Funston Ave.,San Francisco,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sycamore Valley Park,Camino Tassajara & Holbrook Dr,Danville,CA,94506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table Rock,Robert Louis Stevenson State Park,Calistoga,CA,94515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orange Memorial Park,Orange Ave and Tennis Dr,South San Francisco,CA,94080,650 829 3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thamien Park,4321 Lick Mill Blvd,Santa Clara,CA,95054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Kenney Park,1720 Eighth Street,Berkeley,CA,94710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John Hinkel Park,41 Somerset Place,Berkeley,CA,94707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tillman Park,Robert Davey Jr Dr & Aughinbaugh Way,Alameda,CA,94502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parkside Square,26th Ave & Vicente St,San Francisco,CA,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patricia's Green,Hayes St and Octavia St,San Francisco,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
