Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Golden Hills Park,Bernice lane,Martinez,CA,94553,,,,,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,N,N,,
Fairwood Park,1255 Sandia Ave,Sunnyvale,CA,94089,,,,,,,,,,,,,,,,,,,,,
Heritage Park,300 Homer Ave,Palo Alto,CA,94301,650 496 6962,,,,,N,N,,,Y,N,mulch,N,Y,Y,Y,Y,N,N,,Y
Kennedy Park,2318-2386 Streblow Dr,Napa,CA,94558,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y,
Kevin Moran Park,12415 Scully Ave,Saratoga,CA,95070,,,,,,Y,Y,Y,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Golden Gate Park Children's Playground,Haight St and Stanyan Streets,San Francisco,CA,94117,,,,,,,,,,,,,,,,,,,,,
Emerald Glen Park,4201 Central Pkwy,Dublin,CA,94568,,http://www.dublin.ca.gov/index.aspx?NID=335,,,,Y,Y,,,Y,N,mulch,Y,Y,Y,Y,Y,Y,Y,,Y
Golden Gate Park Mothers Meadow,501-599 Martin Luther King Jr Dr,San Francisco,CA,94118,(415) 831-2700,,,,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,N,,,,
Dorothy Bolte Park,540 Spruce Street,Berkeley,CA,94707,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Dorothy_Bolte_Park.aspx,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,N,N,,Y
Fowler Creek Park,Fowler Road at Cortona Dr,San Jose,CA,95109,,,,,,N,Y,,,Y,N,"sand, rubber",Y,Y,Y,Y,Y,Y,Y,,
Lake Merritt,Perkins St. & Bellevue Ave.,Oakland,CA,94610,(510) 230-0339,,,,,Y,N,,Y,Y,N,"dirt, sand",N,Y,Y,Y,Y,Y,N,,
Coyote Point Recreation Area,1701 Coyote Point Dr,San Mateo,CA,94401,650 573 2592,,,Y,,Y,Y,Y,Y,Y,Y,"Mulch, rubber, sand",N,Y,Y,Y,Y,Y,Y,,Y
Harbor View Park,1725 Monte Diablo Ave,San Mateo,CA,94403,,,,,,Y,Y,,N,Y,N,rubber,Y,Y,Y,Y,Y,Y,N,,
Leghorn's park,Casella Way & Casella Al,Petaluma,CA,94954,707 778 4380,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Erckenbrack Park,Niantic Dr,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Erckenbrack-Park.cfm,"With a beautiful waterfront setting, Erckenbrack Park provides 3.4 acres of lawn area, sand beach, a children's playground, and restroom facilities.",,,Y,Y,,,Y,N,mulch,N,Y,N,Y,N,Y,N,,Y
Jose Avenue Park,1435 Jose Ave,Santa Cruz,CA,95062,,,,,,Y,Y,,,Y,N,"rubber, sand",N,Y,Y,Y,Y,N,N,,
Berkeley Aquatic Park,80 Bolivar Way,Berkeley,CA,94710,,,,,,Y,Y,,,Y,Y,mulch,Y,Y,Y,Y,Y,N,N,,
Jack Fisher Park,1400 Abbott Ave,Campbell,CA,95008,,,,,,N,Y,Y,,Y,N,mulch,Y,Y,Y,Y,N,Y,N,,Y
Maddux Park,Maddux Dr at Kensington Rd,Redwood City,CA,94061,,,,,,,,,,,,,,,,,,,,,
Hillside Recreation Center,Hillside Blvd & Belmont Ave ,South San Francisco,CA,94080,650 583 2348,,,,,,,,,,,,,,,,,,,,
Mariposa Park,301 Mariposa Ave,Mountain View,CA,94041,650 903 6326,,,,,N,N,,,Y,N,rubber,N,Y,Y,Y,Y,Y,N,,Y
Martin Luther King Regional Shoreline Park,Doolittle Drive & Swan Way,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Maxwell Fun Center,19171 Sonoma Hwy,Sonoma,CA,95476,707 996 3616,,,,,,,,,,,,,,,,,,,,
Jollyman Park,1000 S Stelling Rd,Cupertino,CA,95014,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Holly Park Circle,Bocana St & Highland Ave,San Francisco,CA,94110,,http://www.sfparksalliance.org/our-parks/parks/holly-park,"This circular park is built on a hill and at the top is a spectacular view. Also at the top is a tennis and basketball court, and a flat ball field. On the side of the hill is a children's playground.",,,,,,,,,,,,,,,,,,Y
George W. Page Park,Santa Teresa Boulevard & Miyuki Drive,San Jose,CA,95119,,,,,,N,N,,,Y,N,mulch,N,N,N,Y,Y,Y,Y,,
Greystone Park,Camden Ave & Mt Carmel Dr,San Jose,CA,95120,,,,,,N,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,Y,,
Greenwood Park,Middle ln. & Eden ave.,Hayward,CA,94545,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Bonaire Park,Juniper St & Sagewood Ave,San Leandro,CA,94579,510 577 3462,https://sanleandro.org/depts/rec/parks/bonaire_park/default.asp,"Located at the corner of Juniper and Sagewood streets, is a 5-acre neighborhood park with unique mounded turf areas. Amenities include picnic areas, play apparatus, restrooms, horseshoe pits and plenty of off-street parking.",,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,,,Y
Mercy-Bush Park,Mercy Street & Bush Street,Mountain View,CA,94041,,,,,,N,N,,,Y,N,rubber,N,N,N,N,Y,Y,N,,Y
Middle Harbor Shoreline Park,2777 Middle Harbor Rd,Oakland,CA,,,,510 627 1111,,,,,,,,,,,,,,,,,,
Mill Creek Hollow,Deerwood Drive & Deerwood Road,San Ramon,CA,94582,,,,,,N,Y,,,Y,,,,,,,,Y,N,,
Mission Hills Park,Junipero Street & Independence Street,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/mission-hills-park,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,,,,Y
Hoover Park,2901 Cowper St,Palo Alto,CA,94309,,,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Linda Vista Park,11000 Linda Vista Dr,Cupertino,CA,95014,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,N,Y,Y,,
Montague Park,3595 MacGregor Lane,Santa Clara,CA,95054,408 615 3140,,,,,,,,,,,,,,,,,,,,Y
Morcom Amphitheater of Roses,700 Jean St,Oakland,CA,,510 238 3187,,,,,,,,,,,,,,,,,,,,
Altamont Creek Park,6800 Altamont Crk. Dr.,Livermore,CA,94550,,,"Altamont Creek Park is a 6.9-acre neighborhood park attached to Altamont Creek Elementary School and is closed during school hours. The park offers two medium-sized soccer fields designed for kids 10 and under and accommodates two youth-sized baseball fields. It also offers tot lot equipment, barbecue pits, picnic tables and hiking and biking trails. Park users include Pony Baseball and Livermore Youth Soccer League.",N,Playground,Y,,,,Y,N,Wood chip/mulch,N,N,N,Y,N,Y,N,,
Mori Point,Fairway Dr & Seaside Dr,Pacifica,CA,94044,415 561 4323,,,,,,,,,,,,,,,,,,,,
Huntington Park,California St & Cushman St,San Francisco,CA,94108,,http://www.sfparksalliance.org/our-parks/parks/huntington-park,"Located on Nob Hill and surrounded by the Grace Cathedral, the Fairmont Hotel, and the Mark Hopkins Hotel, Huntington Park is a quiet place that features a playground for kids, plenty of benches to kick back on, and a nice area for your dogs. There are restrooms available, too.",,,,,,,,,,,,,,,,,,Y
Mount Diablo State Park,96 Mitchell Canyon Rd,Clayton,CA,94517,925 837 2525,,,,,,,,,,,,,,,,,,,,
Mt. Burdell Open Space Preserve,,Novato,CA,,415 499 7000,,,,,,,,,,,,,,,,,,,,
Franklin Park,2095 Franklin Ave,Santa Rosa,CA,95404,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/FranklinPark.aspx,,,,Y,Y,,,Y,N,sand,N,Y,Y,Y,N,Y,Y,,Y
Don Edwards Regional Park,1 Marshlands Rd,Fremont,CA,94555,510 792 222,,,,,,,,,,,,,,,,,,,,
Hidden Lake Park,N Milpitas Blvd & Escuela Pkwy,Milpitas,CA,95035,408 586 3210,,,,,Y,N,,,,,,,,,,,Y,Y,,
Oak Meadow Park,Blossom Hill Rd & Roberts Rd,Los Gatos,CA,95032,408 399 5781,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y,Y
Olompali State Historic Park,8901 Redwood Hwy,Novato,CA,,415 892 3383,,,,,,,,,,,,,,,,,,,,
Osage Station Park,816 Brookside Dr,Danville,CA,94526,,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Osage-Station/,"Osage Station Park is known for its beautiful, memorial rose garden and children's play area with train station.
This 35-acre park features four tennis courts, four baseball diamonds, several soccer fields, plus a path around the park. The tennis courts and sports fields can be rented. An additional parking lot is located near the tennis courts, off Orange Blossom Way. The twenty picnic tables and five barbecue pits are located near the children's play area and are available to rent.
The park is named after the ranch that grew Osage Oranges, and there are still three Osage Orange trees at the park.",,,Y,Y,,,Y,N,"sand, mulch, rubber",Y,Y,Y,Y,N,Y,,,Y
Indian Springs Park,W 39th Ave & Lola St,San Mateo,CA,94403,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Jack Early Park,Grant Avenue & Pfeiffer Street,San Francisco,CA,94140,,,,,,,,,,,,,,,,,,,,,
Palm Beach,Beach Road & Rio Boca Rd,Watsonville,CA,95076,831 763 7062,,,,,,,,,,,,,,,,,,,,
Jessie Square,736 Mission St,San Francisco,CA,94199,,,,,,,,,,,,,,,,,,,,,
Don Edwards San Francisco Bay National Wildlife Refuge,1 Marshlands Rd,Fremont,CA,94555,510 792 222,,,,,,,,,,,,,,,,,,,,
Jerry Bowden Park,High St. & N California Ave.,Palo Alto,CA,94301,,,,,,Y,N,,,Y,Y,"sand, rubber",N,Y,Y,Y,Y,Y,N,,Y
Joe DiMaggio Playground,Columbus Ave & Greenwich St.,San Francisco,CA,94133,,http://www.sfparksalliance.org/our-parks/parks/joe-dimaggio-playground-and-north-beach-pool,"Joe DiMaggio Playground features basketball courts where you can find pick-up games during the week, well-maintained tennis courts and a backboard for solo players to use. Baseball players can enjoy the two fields that are available! Finally, there is a Bocce Ball court if you know the rules of this strategic Italian game.",,,N,Y,,Y,Y,Y,sand,N,Y,Y,Y,Y,Y,N,,Y
Peralta Hacienda Historical Park,2465 34th Ave,Oakland,CA,94601,510 532 9142,,,,,,,,,,,,,,,,,,,,
José Higuera Adobe Park,Wessex Pl & N Park Victoria,Milpitas,CA,,,,,,,Y,Y,,,Y,,,,,,,,Y,Y,,
John McLaren Park,100 John F Shelley Dr,San Francisco,CA,94134,,,,,,,,,,,,,,,,,,,,,
Julius Kahn Park,West Pacific Ave & Spruce St,San Francisco,CA,,,http://www.sfparksalliance.org/our-parks/parks/julius-kahn-playground-clubhouse,"Locally known as ""JK,"" Julius Kahn is adjacent to the Presidio, the nation's largest urban National Park.
The playground is in excellent condition and provides kids and parents two structures to choose from--one designed for babies and toddlers, and another for school-aged kids. Both playgrounds are situated in a sand pit!",,,N,Y,,Y,Y,Y,"sand, rubber",N,Y,Y,Y,Y,Y,N,,Y
Pioneer Park,1308 Cedar St,Calistoga,CA,94515,707 942 2838,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,N,N,,
Lakewood Park,834 Lakechime Dr,Sunnyvale,CA,94089,408 730 7751,,,,,N,Y,,Y,Y,N,rubber,Y,Y,Y,Y,Y,Y,,,
Ken Mercer Sports Park,5800 Parkside Dr,Pleasanton,CA,94566,925 931 5340,http://ptownlife.org/play/parks/ken-mercer-sports-recreation-community-park,Pleasanton’s largest developed park is Pleasanton Sports & Recreation Community Park approximately 103 acres in overall area.,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Preservation Park,1233 Preservation Park Way,Oakland,CA,94612,510 874 7580,,,,,,,,,,,,,,,,,,,,
Koret Children's Quarter,320 Bowling Green Dr,San Francisco,CA,94199,,http://www.sfparksalliance.org/our-parks/parks/koret-childrens-quarter,"Koret Children's Quarter in Golden Gate Park is one of the oldest, biggest, and best playgrounds in San Francisco - featuring a huge, gloriously terrifying slide down a hillside, an antique carousel, and an amazing climbing structure in which kids can easily get lost (in a good way!)
The playground (formerly known as Children's Playground) was originally built in 1887 and is thought to be the nation's first public playground. Koret Children's Quarter reopened in the summer of 2007 after extensive renovations and upgrades.",,,Y,Y,,Y,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,
Rancho San Ramon Community Park,2000 Rancho Park Loop Rd,San Ramon,CA,94582,,,,,,Y,Y,,,Y,N,mulch,Y,Y,Y,Y,Y,Y,N,,
Rancho Solano Park,3078 Pebble Beach Cir,Fairfield,CA,94534,,,,,,,,,,,,,,,,,,,,,
Lafayette Park,Gough and Sacramento Street,San Francisco,CA,94109,,http://www.sfparksalliance.org/our-parks/parks/lafayette-park,"This park is great if you want to get some fresh air! Four blocks long, the numerous paths allow you to walk or run. There is plenty of open space to play with your child and lots of trees to provide shade on a hot day. Also, its a great place for a picnic! There is a small, fenced in playground for kids, designed by Miller Company Landscape Architects. It is in good condition with two tennis courts. There are picnic tables to sit at and restrooms available.",,,,,,,,,,,,,,,,,,Y
Red Willow Park,190 Red Willow Rd,San Ramon,CA,94582,,,,,,Y,N,,,Y,N,mulch,N,N,Y,Y,N,N,N,,
Redwood Regional Park,7867 Redwood Rd,Oakland,CA,94619,888 327 2757,,,,,,,,,,,,,,,,,,,,
Glendale La Loma Park,1310 La Loma Ave,Berkeley,CA,94708,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Glendale_La_Loma_Park.aspx,,,,Y,Y,,,Y,N,sand,N,Y,Y,Y,N,N,N,,Y
Howarth Park,630 Summerfield Rd,Santa Rosa,CA,95405,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/howarth/Pages/default.aspx,"Come visit Howarth Park, the “jewel"" of Santa Rosa. This 152-acre community park provides endless recreational opportunities with a beautiful lake for fishing & boating, a softball field, tennis courts, picnic areas, unique playground structures, miles of hiking and jogging trails, and an amusement area featuring a miniature train ride, carousel, animal farm & pony rides.",,,Y,Y,,Y,Y,N,dirt,Y,Y,Y,Y,Y,Y,Y,Y,Y
Roberts Regional Recreation Area,10570 Skyline Blvd,Oakland,CA,94611,888 327 2757,,,,,,,,,,,,,,,,,,,,
Rodgers-Smith Park,Grayson Terrace & Grayson Rd,Pleasant Hill,CA,94523,,http://www.pleasanthillrec.com/locations/parksandoutdoorspaces.html,"This park is great for picnics: company picnics, family reunions, and barbecues! Reservable Picnic Area with Barbecue, Softball/Sports Field, Sand Volleyball Court, Surfaced Basketball Court, Lighted Bocce Courts. ",,,Y,Y,,,Y,N,"rubber, sand",N,Y,N,Y,Y,Y,Y,,Y
San Bruno Mountain State Park,555 Guadalupe Canyon Pkwy,Daly City,CA,94005,650 992 6770,,,,,,,,,,,,,,,,,,,,
Guadalupe River Park,W Santa Clara St & N Autumn St,San Jose,CA,95110,,,,,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,,Y,
Cherry Grove Park,1600 Williams St,San Leandro,CA,94577,510 577 3462,https://sanleandro.org/depts/rec/parks/cherry.asp,"This 4-acre neighborhood park, is located on Leonard Drive at Williams Street. The park provides neighborhood-oriented facilities, including picnic areas and tennis courts. The park is adjacent to the large open spaces of John Muir School. Amenities include 10 barbecue pits, night lighting, parking, 21 picnic tables, play areas and restrooms.",,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
Floresta Park,3750 Monterey Blvd,San Leandro,CA,94578,,https://sanleandro.org/depts/rec/parks/floresta.asp,"Located at 3750 Monterey Boulevard, this park offers both picnic and play areas. Green space and a baseball diamond are located on the adjacent school site.",,,N,Y,,N,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
Grove Park,1730 Oregon St,Berkeley,CA,94703,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Grove_Park.aspx,,,,N,Y,,,Y,Y,sand,N,Y,Y,Y,N,Y,Y,,Y
Joinville Park,2111 Kehoe Ave,San Mateo,CA,94403,650 522 7434,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,N,N,,
Scotts Valley Tim Brauch Memorial Skate Park,361 Kings Village Rd,Scotts Valley,CA,95066,,,,,,,,,,,,,,,,,,,,,
Lakeshore Park,1500 Marina Ct.,San Mateo,CA,94403,,,,,,Y,Y,N,Y,Y,Y,mulch,N,N,N,Y,Y,Y,Y,,Y
McCoppin Square,1300 Taraval St,San Francisco,CA,94116,,http://www.sfparksalliance.org/our-parks/parks/mccoppin-square,,,,,,,,,,,,,,,,,,,Y
Sharon Park,Sharon Park Dr & Lassen Dr,Menlo Park,CA,94025,650 330 2200,,,,,,,,,,,,,,,,,,,,Y
Sharpsteen Museum,1311 Washington St,Calistoga,CA,94515,707 942 5911,,,,,,,,,,,,,,,,,,,,
Shollenberger Park,1400 Cader Ln,Petaluma,CA,94954,,,,,,,,,,,,,,,,,,,,,
Shoreline Kite Flying Park,N Shoreline Blvd & North Rd,Mountain View,CA,94043,,,,,,,,,,,,,,,,,,,,,
Shoup Park,400 University Ave,Los Altos,CA,94023,,,,,,Y,Y,N,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
McKinley Square,20th St & Vermont,San Francisco,CA,94107,,http://www.sfparksalliance.org/our-parks/parks/mckinley-square,"Located at the corner of 20th Street and Vermont in the Potrero Hill neighborhood, McKinley square features a playground with a large sand pit, and a large grassy open area for soccer, football, a game of catch, or to just let the dogs roam. There is a walking trail with benches. ",,,,N,,,,,,,,,,,,,,Y
Michaelangelo Park,Greenwich St,San Francisco,CA,94109,415 267 575,http://www.sfparksalliance.org/our-parks/parks/michelangelo-playground-community-garden,"Michelangelo is another nice addition to the Russian Hill area. It is extraordinarily maintained and locals consider it the jewel of the neighborhood. There is a half basketball court, a large tennis backboard to hit on, and a playground with sand area for children. There are benches and picnic tables where you can watch your kids and have lunch. The grass is really nice to sit/lay down on too! ",,,,,,,,,,,,,,,,,,Y
Mission Playground & Pool,Valencia St. and Cunningham Pl.,San Francisco,CA,94110,(415) 641-2841,http://www.sfparksalliance.org/our-parks/parks/mission-playgroundpool,,,,,,,,,,,,,,,,,,,Y
Moscone Recreation Center,1800 Chestnut St,San Francisco,CA,94123,415 292 2045,http://www.sfparksalliance.org/our-parks/parks/moscone-recreation-center,"Moscone Rec offers a plethora of activities for kids and adults. There are four baseball fields and four full tennis courts, two full basketball courts, and a remodeled playground.
Dogs are welcome too.
There are bathrooms at the rec center and this park also offers two putting greens.",,,N,Y,,Y,Y,Y,"rubber, sand",N,Y,Y,Y,Y,,,,Y
Stafford Grove Park,1035 7th St,Novato,CA,94945,,,,,,,,,,,,,,,,,,,,,
John D. Morgan Park,540 W Rincon Ave,Campbell,CA,95008,408 866 2105,,,,,Y,Y,,,Y,N,"mulch, sand, rubber",Y,Y,Y,Y,Y,Y,N,Y,Y
Mount Sutro Open Space Reserve,Mt. Sutro West Face,San Francisco,CA,94132,,,,,,,,,,,,,,,,,,,,,
Bill Clark Park,Mollie Ct & Mollie Cir.,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,sand,N,Y,N,Y,Y,N,N,,
Sun Terrace Neighborhood Park,Vancouver Way & Montreal Cir.,Concord,CA,94520,,,,,,N,N,,,Y,N,,N,,Y,Y,Y,Y,Y,,
Mountain Lake Park,Lake St. and Funston Ave.,San Francisco,CA,,,http://www.sfparksalliance.org/our-parks/parks/mountain-lake-park,"Situated next to Mountain Lake where the southern edge of the Presidio meets the Richmond District, this park offers many different amenities. Children enjoy the sand-floor playground at the 12th Avenue entrance that feature slides, swings, and a multi-level play structure. There is a covered picnic/card playing pavilion opposite the 9th Avenue entrance. The great meadow is a favorite place to spend the afternoon for a picnic or to rent for children's birthday parties. ",,,,,,,,,,,,,,,,,,Y
Sycamore Valley Park,Camino Tassajara & Holbrook Dr,Danville,CA,94506,,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Sycamore-Valley/,"Sycamore Valley Park, located at Holbrook Drive and Camino Tassajara, has a children's play area with popular recreational fountain, a reflection pond with waterfall, and a jogging path that meanders through the park.
 
The picnic area adjacent to the baseball diamonds include eight picnic tables and barbecue pits. In addition, a new group picnic area has been added adjacent to the bocce ball courts that will accommodate up to 65 people.",,,Y,Y,,,Y,N,rubber,Y,Y,Y,Y,Y,,,,Y
Table Rock,Robert Louis Stevenson State Park,Calistoga,CA,94515,,,,,,,,,,,,,,,,,,,,,
Orange Memorial Park,Orange Ave and Tennis Dr,South San Francisco,CA,94080,650 829 3800,,,,,,,,,,,,,,,,,,,,
Thamien Park,4321 Lick Mill Blvd,Santa Clara,CA,95054,,,,,,,,,,,,,,,,,,,,,Y
James Kenney Park,1720 Eighth Street,Berkeley,CA,94710,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__James_Kenney_Park.aspx,,,,N,Y,,,Y,Y,sand,N,Y,Y,Y,N,Y,N,,Y
John Hinkel Park,41 Somerset Place,Berkeley,CA,94707,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__John_Hinkel_Park.aspx,,,,N,N,,,Y,N,"grass, dirt",N,N,Y,Y,N,Y,N,,Y
Franklin Park,1432 San Antonio Ave,Alameda,CA,94501,,http://alamedaca.gov/recreation/franklin-park,,,,N,Y,,,Y,Y,mulch,N,Y,Y,Y,N,N,N,,Y
Parkside Square,26th Ave & Vicente St,San Francisco,CA,94116,,http://www.sfparksalliance.org/our-parks/parks/parkside-square,"Located next to Stern Grove, Parkside Square is a nice park to visit on a weekend afternoon. There are quite a few amenities that include a walking trail, brand new playground equipment and sand area for children, four tennis courts and a basketball court too; in addition, there is a baseball field, dogs are welcome, and there are clean bathrooms and water fountains available!",,,Y,Y,,Y,Y,Y,rubber,N,Y,Y,Y,Y,Y,N,Y,
Patricia's Green,Hayes St and Octavia St,San Francisco,CA,94102,,,,,,,,,,,,,,,,,,,,,
Pemberton Steps,1 Pemberton Pl,San Francisco,CA,94101,,,,,,,,,,,,,,,,,,,,,
Pier 14,The Embarcadero and Mission St,San Francisco,CA,94105,,,,,,,,,,,,,,,,,,,,,
Valley View Park,N Monarch and N Wedgewood,San Ramon,CA,94582,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Veterans Plaza Park,550 Peters Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/veterans-plaza,,,,N,N,,Y,Y,Y,mulch,N,N,N,N,Y,N,N,,Y
Falcon Drive Neighborhood Park,Falcon Dr & Peregrine Way,Fremont,CA,94555,,,,,,,,,,,,,,,,,,,,,
Pine Lake Park,Vale Ave & Crestlake Dr,San Francisco,CA,94132,,,,,,,,,,,,,,,,,,,,,
Point San Bruno Park,Forbes Blvd & Dna Way,South San Francisco,CA,94080,,,,,,,,,,,,,,,,,,,,,
Polo Fields at Golden Gate Park,Middle Dr W At Metson Rd,San Francisco,CA,94122,,,,,,,,,,,,,,,,,,,,,
Hillview Park,97 Hillview Ave,Los Altos,CA,94023,,,This playground has a unique old west play structure dedicated to toddlers. They'll have a plast playing with the train and the old west buildings. ,,,Y,N,,N,Y,N,mulch,N,N,Y,Y,N,N,N,,Y
Portsmouth Square,733 Kearny St,San Francisco,CA,94108,,http://www.sfparksalliance.org/our-parks/parks/portsmouth-square,"Portsmouth Square is a community treasure and meeting point. People come here to enjoy their free time and there is something to do for everyone. This is a good central place if you're going to spend time in Chinatown. If you have children, they will enjoy the playground. Checkers/Chess players come here too to enjoy the unique competitive vibe. There is Tai Chi practiced here; however, it is very early in the morning.",,,N,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,N,N,,Y
Wildwood Park,20764 4th St,Saratoga,CA,95070,,http://www.saratoga.ca.us/cityhall/rec/facility_and_park_reservations/parks/wildwood.asp,"A beautiful wooded 4 acre park with a creek, this park is the perfect setting for your wedding, family picnic, or company party. This park offers barbecue and picnic facilities, a children's play area with water feature, two horseshoe pits, a sand volleyball court, restrooms & stage.",,,N,N,,,Y,N,mulch,N,N,N,N,Y,Y,Y,,Y
Yee Tock Chee Park,Bridgeway and Princess St,Sausalito,CA,94965,,,,,,,,,,,,,,,,,,,,,
Potrero Hill Playground & Rec. Center,801 Arkansas St,San Francisco,CA,94107,415 695 5009,http://www.sfparksalliance.org/our-parks/parks/potrero-hill-playground-rec-center,"In the summer of 2007, the city renovated the lower playground giving kids and families a brand new, large and colorful place to play. There is also a baseball field, two tennis courts, and a basketball court; however, the real treat for the public is the recreation center that is extremely well maintained and has a variety of sports/activities to choose from!
There are plenty of picnic tables for lunch, in addition to the BBQ pits, and enough space for your pooch to run around.",,,N,N,,,Y,N,rubber,N,N,Y,Y,Y,Y,Y,,Y
Yountville Park,Washington St and Madison St,Yountville,CA,94599,707 944 8712,,,,,,,,,,,,,,,,,,,,
Bruno Canziani Park,Charlotte Way & Carnegie Way,Livermore,CA,94550,,,,,,Y,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Allan Witt Park,1741 W Texas St,Fairfield,CA,94533,707 399 1999,,,,,,,,,,,,,,,,,,,,
Arguello Park,260 Wellington Dr,San Carlos,CA,94071,,,,,,Y,Y,,,Y,Y,rubber,N,N,N,N,Y,Y,Y,,
Eastshore Park,550 El Embarcadero,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Queen Wilhelmina Tulip Garden,1690 John F Kennedy Dr,San Francisco,CA,94121,,,,,,,,,,,,,,,,,,,,,
Recess - Urban Recreation,470 Carolina St,San Francisco,CA,94107,415 701 7529,,,,,,,,,,,,,,,,,,,,
Hester Park,Dana Ave. & Brooklyn St.,San Jose,CA,95126,,,,,,N,N,,N,Y,N,"mulch, rubber",N,Y,Y,Y,Y,N,N,,
Bellingham Square Park,1281 Bellingham Way,San Ramon,CA,94506,,,,,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Ben Lomond Park,9525 Mill St,Ben Lomond,CA,95005,,,,,,,,,,,,,,,,,,,,,
Live Oak Park,1301 Shattuck Ave,Berkeley,CA,94709,510 981 6700,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Live_Oak_Park.aspx,,,,N,Y,,,Y,Y,dirt,N,Y,Y,Y,Y,Y,Y,,Y
Bernal Community Park,7001 Pleasanton Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/bernal-community-park,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Richmond Playground,,San Francisco,CA,94121,,http://www.sfparksalliance.org/our-parks/parks/richmond-playground-and-rec-center,"Richmond Playground includes two basketball courts, a tennis court, a large multipurpose court, and a climbing structure with sand pit for children.
There is a clubhouse with restrooms.
There is a rec center down the street at 251 18th Ave between California and Clement. During the summer there is a day camp for kids and during the fall/school year there are after school and tiny tots programs. Call for more information: (415) 666-7020.",,,N,Y,,N,Y,N,sand,N,Y,Y,Y,N,N,N,,Y
Bothe-Napa Valley State Park,3801 St Helena Hwy N,Calistoga,CA,94515,707 942 4575,,,,,,,,,,,,,,,,,,,,
Kolb Park,Brighton Dr & Bristol Rd,Dublin,CA,94568,,http://www.dublin.ca.gov/index.aspx?NID=485,,,,N,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Bridgeview Trail,Leimert and Bridgeview,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
